Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Арсенич,Яків,Петрович,Чоловік,1961-05-25,Філолог,Любомль,"узвіз Юхима Геллера, буд. 86, Умань, 56654",846-56-86,miushchenko@example.com
Дрозденко,Азар,Петрович,Чоловік,1951-03-18,Штукатур,Фастів,"парк Восьмого березня 7-й, буд. 5 кв. 272, Васильків, 84009",008 833-96-91,atovstukha@example.org
Швачко,Єфрем,Іванович,Чоловік,1952-08-25,Ботанік,Добропілля,"вулиця Трудових резервів, буд. 7, Пустомити, 01354",965-23-11,hordiibabii@example.com
Франчук,Охрім,Андрійович,Чоловік,2001-11-25,Режисер,Родинське,"парк Одарія, буд. 81 кв. 748, Переяслав, 85255",985 68 44,mykhailoskorobohatko@example.com
Гавриш,Гліб,Володимирович,Чоловік,1962-07-14,Дипломат,Шаргород,"вулиця Проточний, буд. 4 кв. 81, Гуляйполе, 51418",005 122-24-35,dshyian@example.net
Вдовенко,Гаврило,Сергійович,Чоловік,2004-03-26,Будник,Калуш,"площа Прорізний, буд. 5, Рівне, 55968",+380 79 332-19-54,les11@example.org
Єрошенко,Тарас,Петрович,Чоловік,1977-04-14,Кур'єр,Приморськ (Україна),"набережна Павлова, буд. 5 кв. 8, Волноваха, 85079",+380 (91) 162-10-45,zakharchumak@example.org
Матвієнко,Герман,Андрійович,Чоловік,1948-03-27,Краєзнавець,Курахове,"набережна Професора Каришковського, буд. 8 кв. 4, Чорнобиль, 53925",+380 41 701-64-82,hordiiskoryk@example.com
Засуха,Ігнат,Петрович,Чоловік,1977-04-01,Психолог,Сорокине,"проспект Амбулаторний 1-й, буд. 336, Донецьк, 44976",+380 (37) 942-55-71,eovsiienko@example.org
Заруба,Георгій,Андрійович,Чоловік,1964-10-03,Письменник,Кіцмань,"парк Хвойний, буд. 6, Маріуполь, 91891",230-38-38,solomonzabarna@example.com
Дахно,Левко,Володимирович,Чоловік,1991-06-03,Дипломат,Вуглегірськ,"парк Морський, буд. 045, Красноград, 50900",007 711-07-83,vteslia@example.com
Товстоліс,Ігнат,Іванович,Чоловік,1970-05-05,Журналіст,Петрово-Красносілля,"узвіз Офіцерський 1-й, буд. 2, Марганець , 40488",434-12-33,wzatovkaniuk@example.org
Тарасенко,Марко,Олексійович,Чоловік,1939-11-06,Астрофізик,Первомайський ,"вулиця Абрикосовий, буд. 58, Добромиль, 14266",+380 89 899-93-20,uievtushok@example.org
Ніколюк,Адам,Миколайович,Чоловік,1963-11-13,Електромонтер,Заставна,"вулиця Чорноморська, буд. 5 кв. 943, Авдіївка, 24419",071 377 38 71,virabevzenko@example.net
Захарченко,Георгій,Володимирович,Чоловік,1995-10-01,Епідеміолог,Добромиль,"шосе Коцебу міст, буд. 172 кв. 566, Старий Крим, 82309",422 73 00,kkorbut@example.org
Гузенко,Зиновій,Олексійович,Чоловік,1950-04-21,Науковець,Красноперекопськ,"парк Лінія 44-та, буд. 58, Бобринець, 61956",+380 (95) 333-36-65,uzinchuk@example.com
Василенко,Гордій,Володимирович,Чоловік,1941-06-02,Няня,Горлівка,"провулок Ціолковського, буд. 3, Сорокине, 45002",086 109-59-63,nataliiaishchenko@example.com
Василечко,Трохим,Петрович,Чоловік,1943-05-25,Програміст,Олександрівськ,"вулиця Героїв прикордонників, буд. 038, Старокостянтинів, 69299",+380 18 556-84-11,kovalenkoemiliia@example.org
Ковалюк,Стефан,Петрович,Чоловік,1944-02-12,Професор,Миколаїв,"вулиця Кінна, буд. 85, Харків, 32232",+380 25 401-21-33,onyshchenkomyroslav@example.net
Баран,Адам,Володимирович,Чоловік,1940-09-24,Етнограф,Костянтинівка,"шосе 5-та Лінія Марії Демченко, буд. 9 кв. 45, Дніпрорудне, 75490",+380 39 239-49-07,tpushkar@example.org
Заїка,Павло,Володимирович,Чоловік,1948-03-03,Живописець,Євпаторія,"парк Травневий 2-й, буд. 730 кв. 098, Попасна, 19553",055 925-65-92,deriazhnatereza@example.net
Атаманюк,Устим,Петрович,Чоловік,1956-08-22,Вчитель,Верхньодніпровськ,"сквер Єліна, буд. 4, Нова Каховка, 91772",038-02-59,cmakohon@example.net
Деркач,Спас,Миколайович,Чоловік,1957-12-21,Прокурор,Могилів-Подільський,"узвіз Лінія 46-та, буд. 89, Хирів, 86702",645-04-32,cbatiuk@example.net
Андрійович,Климент,Олексійович,Чоловік,1970-02-22,Клоун,Долинська,"узвіз Балтський 6-й, буд. 58, Южноукраїнськ, 56282",+380 13 628-57-00,stusanastasiia@example.org
Барабаш,Адам,Миколайович,Чоловік,1967-06-30,Фотограф,Монастириська,"набережна Флотський 2-й, буд. 595 кв. 7, Луцьк, 19505",005 15 30,xadamenko@example.com
Пелех,Аврелій,Олексійович,Чоловік,2008-02-01,Дипломат,Баштанка,"шосе 15-та Лінія 6-й ст. Люстдорфської дороги, буд. 6, Славута, 22819",049 504 97 90,vasylskyrda@example.com
Панчук,Олесь,Сергійович,Чоловік,1969-11-02,Філолог,Географія Вільнянська,"проспект Хаджибейський 2-й, буд. 619, Камінь-Каширський, 03141",+380 (54) 762-87-83,kanivetsvalerii@example.com
Бабиченко,Гаврило,Петрович,Чоловік,1945-07-25,Краєзнавець,Привілля,"шосе Ширяївський, буд. 8 кв. 903, Донецьк, 88863",062 326-66-29,mykhailiukillia@example.com
Данильчук,Опанас,Петрович,Чоловік,1954-09-03,Доцент,Апостолове,"набережна Авдєєва-Чорноморського, буд. 1 кв. 3, Комарно, 47155",066 278-08-23,ivanorobets@example.com
Пилипенко,Стефан,Сергійович,Чоловік,1950-07-31,Палеонтолог,Зборів,"парк Леха Качинського, буд. 175 кв. 3, Самбір, 33267",629-63-04,vitrukzynovii@example.org
Цюцюра,Прохір,Миколайович,Чоловік,1960-10-15,Режисер,Здолбунів,"площа Чорноморський 11-й, буд. 42, Миргород, 19668",971-11-52,priskaasaula@example.org
Швачка,Онисим,Володимирович,Чоловік,1958-01-23,Льотчик,Скадовськ,"набережна Генуезька, буд. 84, Арциз, 14971",096 007-14-96,martynzhuchenko@example.net
Бгиденко,Франц,Олексійович,Чоловік,1997-04-14,Професор,Старокостянтинів,"вулиця Олександра Блока, буд. 893, Канів, 27556",+380 32 637 70 70,huziiirena@example.org
Талан,Алевтин,Петрович,Чоловік,1980-06-25,Агроном,Острог,"площа Асташкіна, буд. 7 кв. 042, Покров, 32061",223 53 81,orkhyp88@example.org
Приймак,Пармен,Іванович,Чоловік,1981-01-14,Епідеміолог,Яремче,"шосе Бугаївська, буд. 6 кв. 96, Новгород-Сіверський, 56713",089 385 68 26,halynaazhazha@example.org
Шутько,Едуард,Олексійович,Чоловік,2001-06-17,Машиніст,Міусинськ,"узвіз Асташкіна, буд. 29, Рогатин, 49447",892-86-32,tsarenkolarysa@example.org
Харченко,Валентин,Андрійович,Чоловік,2001-01-23,Гінеколог,Мукачево,"набережна Академіка Корольова, буд. 9 кв. 2, Брянка, 93018",077 687-69-84,arkadiionyshchenko@example.net
Кальченко,Устим,Іванович,Чоловік,1972-06-19,Клавішник,Тернопіль,"провулок Чубаївська, буд. 004 кв. 8, Остер , 33891",+380 79 976-72-15,jtaran@example.net
Копитко,Вʼячеслав,Андрійович,Чоловік,1986-06-03,Локсмайстер,Борщів,"проспект Сільськогосподарський, буд. 66 кв. 9, Миронівка, 02828",+380 (51) 180-98-90,roman53@example.org
Савенко,Нестор,Володимирович,Чоловік,1986-07-18,Маркетолог,Рубіжне,"узвіз Банний, буд. 4 кв. 26, Чортків, 06751",409-64-89,roksolanavashchenko@example.org
Малишко,Михайло,Миколайович,Чоловік,1990-06-22,Патологоанатом,Жашків,"сквер Єлисаветградський, буд. 189 кв. 68, Корсунь-Шевченківський, 48494",660-51-80,amvrosiivernydub@example.com
Оробець,Валентин,Володимирович,Чоловік,1961-07-31,Хореограф,Запоріжжя,"набережна Міцкевича, буд. 470, Березівка, 89499",025 023 20 43,opanasenkolukian@example.com
Павлик,Володимир,Андрійович,Чоловік,1943-09-09,Співак,Сколе,"набережна Усатівська, буд. 250 кв. 61, Рівне, 99983",+380 73 469-60-65,teodor10@example.net
